"cityabbr","province","distance_to_harbor","nearest_port","lndis_to_harbor","distance_to_bharbor","nearest_bport","lndis_to_bharbor"
"昌都","西藏自治区","1693.8634681996","湛江市",14.342523144027412,1825420.8450244784,"广州市",14.417321666246774
"林芝","西藏自治区","1764.41157183564","湛江市",14.383328372462783,1941865.7622714972,"广州市",14.479160316968663
"那曲","西藏自治区","2473.98432920762","湛江市",14.721340901928153,2628836.189734084,"广州市",14.782052173203297
"阿里","西藏自治区","3047.5757805603","湛江市",14.929857334625698,3214766.4351307442,"天津市",14.983265575597486
"六盘水","贵州省","776.539031339946","湛江市",13.56260347380282,926113.7285718629,"广州市",13.73875340289958
"安顺","贵州省","693.834810681098","湛江市",13.449990627465525,820512.693342307,"广州市",13.617685878394726
"毕节","贵州省","832.966629412277","湛江市",13.632750060144533,933309.462358221,"广州市",13.746493181560888
"贵阳","贵州省","729.368360153367","湛江市",13.49993554955552,789284.2505966384,"广州市",13.578883068833232
"遵义","贵州省","838.533024465224","广州市",13.639410437198203,838533.0244652242,"广州市",13.639410437198203
"铜仁","贵州省","716.46821335163","广州市",13.482090557220621,716468.2133516304,"广州市",13.482090557220621
"黔东南","贵州省","611.904921818397","广州市",13.324333827158986,611904.9218183969,"广州市",13.324333827158986
"黔南","贵州省","622.486669956","湛江市",13.341479099825234,700332.468769365,"广州市",13.459311884546965
"黔西南","贵州省","667.747171016562","湛江市",13.411666391944214,844892.5051556192,"广州市",13.646965868995304
"丹东","辽宁省","182.394799242727","营口市",12.113934325889659,213888.16984832648,"大连市",12.27321326194353
"大连","辽宁省","0","大连市",0,0,"大连市",0
"抚顺","辽宁省","238.866217577565","营口市",12.38366310153541,321968.074481565,"大连市",12.682210777931502
"朝阳","辽宁省","172.620854728058","秦皇岛市",12.058858670288156,172620.8547280584,"秦皇岛市",12.058858670288156
"本溪","辽宁省","204.133535282847","营口市",12.226534542141199,268904.70288500254,"大连市",12.50211605023215
"沈阳","辽宁省","174.721337940828","营口市",12.070953352520739,287550.27808217227,"大连市",12.569156481862233
"盘锦","辽宁省","50.5448562900805","营口市",10.830636248587808,165488.388472796,"大连市",12.01666235375446
"葫芦岛","辽宁省","104.323348879317","秦皇岛市",11.55526006416845,104323.34887931679,"秦皇岛市",11.55526006416845
"辽阳","辽宁省","100.955307127687","营口市",11.522443099527685,195824.71553354643,"大连市",12.184980336172574
"铁岭","辽宁省","189.574780824913","营口市",12.152544122378602,293294.38843793614,"大连市",12.588935531820919
"锦州","辽宁省","103.882213409568","营口市",11.551022599160081,213813.83811629828,"大连市",12.272865677018478
"阜新","辽宁省","181.242378047697","营口市",12.107596037140247,298974.86555553233,"大连市",12.608118131909437
"鞍山","辽宁省","64.5307795945174","营口市",11.074913088335421,140880.87128586878,"大连市",11.855677025917396
"重庆","重庆市","933.774983906921","广州市",13.746991842519279,933774.9839069211,"广州市",13.746991842519279
"咸阳","陕西省","931.741690488286","天津市",13.74481197238268,931741.6904882859,"天津市",13.74481197238268
"商洛","陕西省","855.636962016499","连云港市",13.659602624089356,914686.6895453747,"天津市",13.726337963092508
"安康","陕西省","964.354893250086","连云港市",13.779215689330469,1048606.1174718,"天津市",13.862973286692231
"宝鸡","陕西省","1054.06891516874","天津市",13.868169339060666,1054068.9151687366,"天津市",13.868169339060666
"延安","陕西省","771.920896523249","天津市",13.55663865358218,771920.8965232488,"天津市",13.55663865358218
"榆林","陕西省","689.694456148426","天津市",13.444005411241129,689694.4561484264,"天津市",13.444005411241129
"汉中","陕西省","1122.05113575585","连云港市",13.930669830790805,1147891.2698283484,"天津市",13.953438009845312
